Trainning Data,,,,,,
,,,,,,
SL No,Sample Id,Intent Id,Intent Name,Intent Sample,Intent Type,
31,146976,25595,Como corregir los datos personales de mi certificado de Vacunacion,Certificado de vacunacion,INTENT,
32,146977,25595,Como corregir los datos personales de mi certificado de Vacunacion,certificado covid19,INTENT,
33,146978,30248,Funciones de un Comisionado,¿Qué hace un comisionado?,INTENT,
34,146979,30248,Funciones de un Comisionado,funciones de un comisionado,INTENT,
35,146980,30248,Funciones de un Comisionado,tareas de un comisionado,INTENT,
36,146981,30248,Funciones de un Comisionado,sirve un comisionado,INTENT,
37,146982,29801,búho legal,Estoy boletinado,INTENT,
38,146983,29801,búho legal,me boletinaron,INTENT,
39,146984,25512,Saber que es el CAS,sirve el CAS,INTENT,
40,146985,25511,Servicios que ofrece el CAS,Servicios del CAS,INTENT,
41,146986,25511,Servicios que ofrece el CAS,ayudar el CAS,INTENT,
42,146987,25511,Servicios que ofrece el CAS,Pueden ayudar en el CAS,INTENT,
43,146988,25511,Servicios que ofrece el CAS,servicios brindan,INTENT,
44,146989,25502,"Sáber el horario del INAI, CAS y oficialia de partes",Horario tienen,INTENT,
45,146992,25502,"Sáber el horario del INAI, CAS y oficialia de partes",Horario del CAS,INTENT,
46,146993,25502,"Sáber el horario del INAI, CAS y oficialia de partes",Horario de oficialía,INTENT,
47,146994,25502,"Sáber el horario del INAI, CAS y oficialia de partes",hora trabajan,INTENT,
48,146995,25502,"Sáber el horario del INAI, CAS y oficialia de partes",hora puedo,INTENT,
49,146996,25510,Días Inhábiles,inhábiles del INAI,INTENT,
50,146999,25510,Días Inhábiles,días de vacaciones,INTENT,
51,147000,25510,Días Inhábiles,Inhábiles del CAS,INTENT,
52,147001,29447,Me llamo CAVI,Cómo te llamas,INTENT,
53,147002,25505,Saber cómo contactar al CAS,medios de contacto,INTENT,
54,147003,29447,Me llamo CAVI,Cuál es tu nombre,INTENT,
55,147004,29447,Me llamo CAVI,quién eres,INTENT,
56,147005,25505,Saber cómo contactar al CAS,les puedo contactar,INTENT,
57,147006,25505,Saber cómo contactar al CAS,medios de atención,INTENT,
58,147009,29448,Eres un Robot,eres un robot,INTENT,
59,147010,29448,Eres un Robot,eres un chatbot,INTENT,
60,147011,29448,Eres un Robot,qué eres,INTENT,
61,147012,29450,De nada,Mucho gusto,INTENT,
62,147014,29450,De nada,Muchas gracias,INTENT,
63,147016,25507,Saber el email del CAS,cuál es su e-mail ,INTENT,
64,147017,25507,Saber el email del CAS,correo del CAS,INTENT,
65,147018,25507,Saber el email del CAS,su correo electrónico,INTENT,
66,147019,29448,Eres un Robot,con quien hablo,INTENT,
67,147020,29451,PROSEDE,Prosede,INTENT,
68,147021,29452,CIT,CIT,INTENT,
69,147022,29452,CIT,Certamen,INTENT,
70,147023,29452,CIT,CIT2022,INTENT,
71,147024,29453,Talleres Sensibilización,Talleres,INTENT,
72,147025,29453,Talleres Sensibilización,sensibilización,INTENT,
73,147026,25446,Arbol - Semanas cotizadas del imss,mis semanas cotizadas,INTENT,
74,147027,25446,Arbol - Semanas cotizadas del imss,de semanas cotizadas,INTENT,
75,147028,25446,Arbol - Semanas cotizadas del imss,cotizadas en el IMSS,INTENT,
76,147029,25446,Arbol - Semanas cotizadas del imss,historial de semanas cotizadas,INTENT,
77,147030,29485,Hablar con Supervisor,hablar con un supervisor,INTENT,
78,147031,29485,Hablar con Supervisor,quejarme de un agente,INTENT,
79,147032,29485,Hablar con Supervisor,quejarme de un asesor,INTENT,
80,147033,25501,Saber qué es y hace el INAI,"sirve el Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",INTENT,
81,147034,25501,Saber qué es y hace el INAI,es el INAI,INTENT,
82,147035,29449,Obligaciones de Transparencia,Obligaciones de Transparencia,INTENT,
83,147036,29449,Obligaciones de Transparencia,SIPOT,INTENT,
84,147037,25506,Saber el teléfono del CAS,número de telinai,INTENT,
85,147039,25506,Saber el teléfono del CAS,su número telefónico ,INTENT,
86,147040,25506,Saber el teléfono del CAS,teléfono del CAS,INTENT,
87,147043,25506,Saber el teléfono del CAS,el número de TELINAI?,INTENT,
88,147044,25508,"Saber la dirección del INAI, CAS y para postal",para enviar un escrito,INTENT,
89,147045,25508,"Saber la dirección del INAI, CAS y para postal",su dirección,INTENT,
90,147046,25508,"Saber la dirección del INAI, CAS y para postal",domicilio del INAI,INTENT,
91,147047,25508,"Saber la dirección del INAI, CAS y para postal",enviar correspondencia,INTENT,
92,147048,25508,"Saber la dirección del INAI, CAS y para postal",dirección del INAI,INTENT,
93,147051,25514,¿En dónde tienen Oficinas?,dirección del INAI en mi estado,INTENT,
94,147052,25514,¿En dónde tienen Oficinas?,oficinas en otras entidades federativas?,INTENT,
95,147053,25514,¿En dónde tienen Oficinas?,tienen oficinas en otras entidades?,INTENT,
96,147056,25517,¿Qué información guarda el INAI?,información resguarda el Instituto?,INTENT,
97,147057,25517,¿Qué información guarda el INAI?,información tiene el INAI?,INTENT,
98,147058,25517,¿Qué información guarda el INAI?,datos le puedo pedir al INAI?,INTENT,
99,147059,29426,qué es el MiCAS,micas,INTENT,
100,147060,29446,Micrositio CAS,página del cas,INTENT,
101,147061,29446,Micrositio CAS,Micrositio del CAS,INTENT,
102,147063,29446,Micrositio CAS,web,INTENT,
103,147065,29441,Sujetos Obligados,los sujetos obligados,INTENT,
104,147066,29441,Sujetos Obligados,de sujetos obligados,INTENT,
105,147069,28657,Caravana,Caravana,INTENT,
106,147070,28657,Caravana,Caravanas,INTENT,
107,147071,28987,Aviso de Privacidad,Aviso de privacidad,INTENT,
108,147072,25519,Cursos INAI,Cursos,INTENT,
109,147073,25519,Cursos INAI,Aprender,INTENT,
110,147074,25519,Cursos INAI,CEVINAI,INTENT,
111,147077,30091,Arbol - Realizar Solicitud - CAS,realizar solicitudes,INTENT,
112,147078,25520,Normatividad del INAI,Normatividad del INAI,INTENT,
113,147079,25520,Normatividad del INAI,Inai tiene normatividad,INTENT,
114,147080,30141,Arbol - Realizar Seguimientos ,Seguimiento a solicitud ,INTENT,
115,147081,30141,Arbol - Realizar Seguimientos ,Seguimiento a queja ,INTENT,
116,147082,30141,Arbol - Realizar Seguimientos ,Seguimiento a recurso,INTENT,
117,147084,30141,Arbol - Realizar Seguimientos ,estatus de solicitud,INTENT,
118,147085,30141,Arbol - Realizar Seguimientos ,estatus de queja ,INTENT,
119,147086,30141,Arbol - Realizar Seguimientos ,estatus de recurso ,INTENT,
120,147087,30141,Arbol - Realizar Seguimientos ,paso con mi solicitud,INTENT,
121,147088,25525,Qué y quienes son los comisionados,Norma Julieta del Río Venegas,INTENT,
122,147089,25525,Qué y quienes son los comisionados,Blanca Lilia Ibarra Cadena,INTENT,
123,147090,25525,Qué y quienes son los comisionados,Josefina Román Vergara,INTENT,
124,147091,25525,Qué y quienes son los comisionados,Óscar Mauricio Guerra Ford,INTENT,
125,147092,25525,Qué y quienes son los comisionados,Rosendoevgueni Monterrey Chepov,INTENT,
126,147093,25525,Qué y quienes son los comisionados,Francisco Javier Acuña Llamas,INTENT,
127,147094,25525,Qué y quienes son los comisionados,Adrián Alcalá Méndez,INTENT,
128,147095,30248,Funciones de un Comisionado,funciones de los comisionados,INTENT,
129,147096,25522,Calendario de eventos del INAI,Calendario eventos ,INTENT,
130,147097,25522,Calendario de eventos del INAI,eventos ,INTENT,
131,147098,25546,Material editorial del INAI,material editorial?,INTENT,
132,147100,25546,Material editorial del INAI,editorial ,INTENT,
133,147103,25550,Videos del INAI,Material audiovisual ,INTENT,
134,147104,25550,Videos del INAI,audiovisual INAI ,INTENT,
135,147105,25668,Arbol - Qué es un Recurso de Revisón,recurso de revisión,INTENT,
136,147109,25668,Arbol - Qué es un Recurso de Revisón,recurso revisión acceso información ,INTENT,
137,147110,25668,Arbol - Qué es un Recurso de Revisón,recurso revisión datos personales,INTENT,
138,147111,25527,¿Dónde está el directorio del INAI y comunicarme?,Directorio,INTENT,
139,147112,25527,¿Dónde está el directorio del INAI y comunicarme?,Sus extensiones,INTENT,
140,147113,25528,¿Dónde está el organigrama del INAI?,Organigrama,INTENT,
141,147114,25528,¿Dónde está el organigrama del INAI?,estructura orgánica,INTENT,
142,147115,25528,¿Dónde está el organigrama del INAI?,organizado el inai,INTENT,
143,147116,25527,¿Dónde está el directorio del INAI y comunicarme?,la extension,INTENT,
144,147117,25546,Material editorial del INAI,publicaciones,INTENT,
145,147118,25546,Material editorial del INAI,Libros,INTENT,
146,147119,25550,Videos del INAI,videos,INTENT,
147,147120,25547,Estados financieros del INAI,gasta el inai,INTENT,
148,147121,25547,Estados financieros del INAI,finanzas del inai,INTENT,
149,147122,25547,Estados financieros del INAI,gasta el dinero el inai,INTENT,
150,147123,25548,Redes sociales del CAS,Redes sociales del CAS,INTENT,
151,147124,25548,Redes sociales del CAS,Cas tiene redes sociales,INTENT,
152,147125,25548,Redes sociales del CAS,Twitter del CAS,INTENT,
153,147126,25548,Redes sociales del CAS,Cas tiene twitter,INTENT,
154,147127,25548,Redes sociales del CAS,cas tiene facebook,INTENT,
155,147128,25549,Redes sociales del INAI,redes sociales del inai,INTENT,
156,147129,25549,Redes sociales del INAI,inai tiene redes sociales,INTENT,
157,147130,25549,Redes sociales del INAI,facebook del inai,INTENT,
158,147131,25549,Redes sociales del INAI,twitter del inai,INTENT,
159,147132,25549,Redes sociales del INAI,youtube del inai,INTENT,
160,147133,25549,Redes sociales del INAI,twitter del inai,INTENT,
161,147134,25549,Redes sociales del INAI,facebook del inai,INTENT,
162,147135,25549,Redes sociales del INAI,youtube del inai,INTENT,
163,147136,25552,¿Dónde está la biblioteca digital del INAI?,Biblioteca,INTENT,
164,147137,25552,¿Dónde está la biblioteca digital del INAI?,Biblioteca digital,INTENT,
165,147138,25553,¿Dónde ver los comunicados del INAI?,Comunicados,INTENT,
166,147139,25553,¿Dónde ver los comunicados del INAI?,comunicado,INTENT,
167,147140,25554,¿Dónde consultar las estadísticas del INAI?,indicadores,INTENT,
168,147141,25554,¿Dónde consultar las estadísticas del INAI?,gráficas,INTENT,
169,147142,25555,Saber qué es el pleno del INAI,Pleno del inai,INTENT,
170,147143,25555,Saber qué es el pleno del INAI,facultades del pleno,INTENT,
171,147144,25557,Saber si el INAI hace acciones de inconstitucionalidad y cuáles.,inconstitucionalidad,INTENT,
172,147145,25557,Saber si el INAI hace acciones de inconstitucionalidad y cuáles.,acciones de inconstitucionalidad,INTENT,
173,147146,25558,Saber si el INAI hace controversicas constitucionales y cuáles.,Controversia,INTENT,
174,147147,25558,Saber si el INAI hace controversicas constitucionales y cuáles.,controversia constitucional,INTENT,
175,147148,25559,Saber toda la información correspondiente al pleno.,sesiones del pleno,INTENT,
176,147149,25559,Saber toda la información correspondiente al pleno.,orden del día,INTENT,
177,147150,25559,Saber toda la información correspondiente al pleno.,acuerdos del pleno,INTENT,
178,147151,25559,Saber toda la información correspondiente al pleno.,estenográfica,INTENT,
179,147152,25559,Saber toda la información correspondiente al pleno.,estenograficas,INTENT,
180,147153,25561,Saber qué es una resolución,Resolución del Pleno,INTENT,
181,147154,25561,Saber qué es una resolución,Resoluciones del pleno,INTENT,
182,147155,25521,¿Con quién impugnar un procedimiento del INAI?,Impugnar un procedimiento,INTENT,
183,147156,25526,¿Cuáles son los criterios de interpretación?,interpreta el inai,INTENT,
184,147157,25551,¿Cómo denunciar un funcionario del INAI?,denunciar un funcionario del INAI,INTENT,
185,147158,25551,¿Cómo denunciar un funcionario del INAI?,Organo Interno de Control,INTENT,
186,147159,25551,¿Cómo denunciar un funcionario del INAI?,OIC,INTENT,
187,147160,25551,¿Cómo denunciar un funcionario del INAI?,Quejarme de un funcionario,INTENT,
188,147161,25567,¿Qué son los datos personales?,qué son los datos personales,INTENT,
189,147162,25568,Tipos de datos personales.,tipos de datos,INTENT,
190,147163,25568,Tipos de datos personales.,ejemplos de datos,INTENT,
191,147164,25675,cómo obtener un Número de seguro social.,obtener un numero de seguro,INTENT,
192,147165,25675,cómo obtener un Número de seguro social.,obtener mi numero de seguro,INTENT,
193,147166,25675,cómo obtener un Número de seguro social.,sacar mi numero de seguro,INTENT,
194,147167,25675,cómo obtener un Número de seguro social.,generar un numero de seguro,INTENT,
195,147168,25676,Cómo unificar el número de seguro social,unificar numero de seguro ,INTENT,
196,147169,25676,Cómo unificar el número de seguro social,unificar mi numero de seguro,INTENT,
197,147171,25676,Cómo unificar el número de seguro social,juntar numeros de social,INTENT,
198,147172,29523,Arbol Leyes,Leyes del inai,INTENT,
199,147173,29523,Arbol Leyes,leyes,INTENT,
200,147174,29524,Leyes de Acceso a la Información,Leyes de Acceso a la Información,INTENT,
201,147175,29524,Leyes de Acceso a la Información,Ley de acceso a la información,INTENT,
202,147176,29525,Leyes de Protección de Datos Personales,Leyes de Protección de Datos Personales,INTENT,
203,147177,29525,Leyes de Protección de Datos Personales,Leyes de Protección de Datos,INTENT,
204,147178,29525,Leyes de Protección de Datos Personales,Ley de Protección de Datos Personales,INTENT,
205,147179,29525,Leyes de Protección de Datos Personales,Ley de Protección de Datos,INTENT,
206,147180,29526,LFTAIP,LFTAIP,INTENT,
207,147181,29526,LFTAIP,Ley federal de Transparencia,INTENT,
208,147182,29526,LFTAIP,Ley federal de acceso,INTENT,
209,147183,29526,LFTAIP,Ley Federal de Transparencia y Acceso a la Información Pública,INTENT,
210,147184,29527,LGTAIP,Ley General de Transparencia y Acceso a la Información Pública,INTENT,
211,147185,29527,LGTAIP,LGTAIP,INTENT,
212,147186,29527,LGTAIP,La Ley General de Transparencia y,INTENT,
213,147187,29527,LGTAIP,La Ley General Acceso a la Información,INTENT,
214,147188,29528,LFPDPPP,Ley Federal de Protección de Datos Personales en Posesión de los Particulares,INTENT,
215,147189,29528,LFPDPPP,LFPDPPP,INTENT,
216,147190,29528,LFPDPPP,Ley Federal de Protección,INTENT,
217,147191,29528,LFPDPPP,Ley de particulares,INTENT,
218,147192,29529,LGPDPPSO,LGPDPPSO,INTENT,
219,147193,29529,LGPDPPSO,Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados,INTENT,
220,147194,29529,LGPDPPSO,Ley General de Protección ,INTENT,
221,147195,29529,LGPDPPSO,Ley de sujetos obligados,INTENT,
222,147196,29523,Arbol Leyes,leyes utiliza el inai,INTENT,
223,147198,29486,Arbol Quejas,tengo una queja,INTENT,
224,147202,29486,Arbol Quejas,Tengo una denuncia,INTENT,
225,147203,29591,Recurso de Inconformidad,Recurso de inconformidad,INTENT,
226,147204,29591,Recurso de Inconformidad,Inconformarme con resolución de órgano,INTENT,
227,147205,29591,Recurso de Inconformidad,Inconforme con la resolución de un órgano,INTENT,
228,147206,29591,Recurso de Inconformidad,Estoy inconforme con la resolución de un órgano garante,INTENT,
229,147207,29590,Atraer recurso de revisión,atraer un recurso,INTENT,
230,147208,29590,Atraer recurso de revisión,atraigan un recurso,INTENT,
231,147213,29486,Arbol Quejas,denunciar,INTENT,
232,147214,29486,Arbol Quejas,presentar una queja,INTENT,
233,147215,29486,Arbol Quejas,presentar una denuncia,INTENT,
234,147216,29486,Arbol Quejas,quejarme,INTENT,
235,147218,30091,Arbol - Realizar Solicitud - CAS,realizar una solicitud,INTENT,
236,147219,30091,Arbol - Realizar Solicitud - CAS,hacer una solicitud,INTENT,
237,147222,30091,Arbol - Realizar Solicitud - CAS,presentar una solicitud,INTENT,
238,147223,30091,Arbol - Realizar Solicitud - CAS,como pido información,INTENT,
239,147224,30091,Arbol - Realizar Solicitud - CAS,pedirles información,INTENT,
240,147225,30091,Arbol - Realizar Solicitud - CAS,pedir información,INTENT,
241,147226,30141,Arbol - Realizar Seguimientos ,seguimiento a una solicitud,INTENT,
242,147227,25668,Arbol - Qué es un Recurso de Revisón,contestaron a tiempo,INTENT,
243,147228,25668,Arbol - Qué es un Recurso de Revisón,plazo venció,INTENT,
244,147230,25668,Arbol - Qué es un Recurso de Revisón,respuesta de mi solicitud,INTENT,
245,147231,30331,Arbol - Procedimientos de DP,vulneraron mis datos,INTENT,
246,147232,30331,Arbol - Procedimientos de DP,mostraron mi información,INTENT,
247,147233,30331,Arbol - Procedimientos de DP,compartieron mis datos,INTENT,
248,147234,30331,Arbol - Procedimientos de DP,protección de derechos,INTENT,
249,147235,30331,Arbol - Procedimientos de DP,vulneración,INTENT,
250,147236,30331,Arbol - Procedimientos de DP,solicité derechos arco,INTENT,
251,147237,30331,Arbol - Procedimientos de DP,pedi derechos arco,INTENT,
252,147238,30331,Arbol - Procedimientos de DP,compartió mis datos,INTENT,
253,147239,25570,¿Qué significa ARCO?,Significado de arco,INTENT,
254,147240,25570,¿Qué significa ARCO?,significa arco,INTENT,
255,147241,25570,¿Qué significa ARCO?,que es arco,INTENT,
256,147242,25570,¿Qué significa ARCO?,qué es el derecho arco,INTENT,
257,147243,25569,¿Qué es la protección de datos personales?,Derecho de Protección de Datos Personales,INTENT,
258,147244,25569,¿Qué es la protección de datos personales?,Derecho de Protección de Datos,INTENT,
259,147245,25574,¿Qué es el Derecho de Oposición?,oposición,INTENT,
260,147246,25574,¿Qué es el Derecho de Oposición?,derecho de oposición,INTENT,
261,147247,25573,¿Qué es el Derecho de Cancelación?,cancelación,INTENT,
262,147248,25573,¿Qué es el Derecho de Cancelación?,derecho de cancelación,INTENT,
263,147249,25572,¿Qué es el Derecho de Rectificación?,Rectificación,INTENT,
264,147250,25572,¿Qué es el Derecho de Rectificación?,derecho de rectificación,INTENT,
265,147251,25571,¿Qué es el Derecho de Acceso?,derecho de acceso,INTENT,
266,147252,25571,¿Qué es el Derecho de Acceso?,acceso,INTENT,
267,147253,25578,Qué es la PNT,Plataforma Nacional de Transparencia,INTENT,
268,147254,25578,Qué es la PNT,qué es plataforma,INTENT,
269,147255,25578,Qué es la PNT,qué es la pnt,INTENT,
270,147256,25578,Qué es la PNT,puedo consultar en la plataforma,INTENT,
271,147257,25578,Qué es la PNT,puedo consultar en la pnt,INTENT,
272,147258,25578,Qué es la PNT,puedo ver en la plataforma,INTENT,
273,147260,25576,Cómo recuperar tu contraseña de la PNT,olvidé mi contraseña,INTENT,
274,147261,25576,Cómo recuperar tu contraseña de la PNT,resetear contraseña,INTENT,
275,147262,25580,Cómo registrarse en la PNT - Arbol,registrarme en la plataforma,INTENT,
276,147264,25580,Cómo registrarse en la PNT - Arbol,crear cuenta en la plataforma,INTENT,
277,147265,25580,Cómo registrarse en la PNT - Arbol,crear cuenta en la pnt,INTENT,
278,147274,25686,Como tener acceso a mi información de salud,Expediente medico,INTENT,
279,147275,25686,Como tener acceso a mi información de salud,expediente medico de un familiar,INTENT,
280,147276,25576,Cómo recuperar tu contraseña de la PNT,no recuerdo mi contraseña,INTENT,
281,147277,25580,Cómo registrarse en la PNT - Arbol,registro en la pnt,INTENT,
282,147278,25561,Saber qué es una resolución,es una resolución,INTENT,
283,147279,25575,¿Qué es el Acceso a la Información? DAI,qué es acceso a la información,INTENT,
284,147280,25575,¿Qué es el Acceso a la Información? DAI,derecho de acceso a la información,INTENT,
285,147281,25575,¿Qué es el Acceso a la Información? DAI,significa acceso a la información,INTENT,
286,147299,25575,¿Qué es el Acceso a la Información? DAI,¿Que es el acceso a la informacion?,INTENT,
287,147300,25576,Cómo recuperar tu contraseña de la PNT,recuperar mi contraseña,INTENT,
288,147301,25595,Como corregir los datos personales de mi certificado de Vacunacion,pueden corregir mi certificado covid?,INTENT,
289,147302,25675,cómo obtener un Número de seguro social.,solicitar mi numero de seguro,INTENT,
290,147303,25525,Qué y quienes son los comisionados,qué es un comisionado,INTENT,
291,147304,25525,Qué y quienes son los comisionados,quienes son los comisionados,INTENT,
292,147305,25527,¿Dónde está el directorio del INAI y comunicarme?,directorio del inai,INTENT,
293,147307,25513,Atención Presencial,atender presencialmente,INTENT,
294,147308,25513,Atención Presencial,de manera presencial,INTENT,
295,147309,25513,Atención Presencial,puedo ir a sus oficinas,INTENT,
296,147310,25513,Atención Presencial,atienden personalmente,INTENT,
297,147311,25580,Cómo registrarse en la PNT - Arbol,registrarme en la pnt,INTENT,
298,147313,25686,Como tener acceso a mi información de salud,historia clínica,INTENT,
299,147314,25588,como saber cuánto ganan los funcionarios,sueldo,INTENT,
300,147315,25588,como saber cuánto ganan los funcionarios,salario,INTENT,
301,147316,30397,Historial Laboral IMSS,resumen laboral,INTENT,
302,147317,25512,Saber que es el CAS,Cas,INTENT,
303,147318,25512,Saber que es el CAS,que es el cas,INTENT,
304,147319,25575,¿Qué es el Acceso a la Información? DAI,dai,INTENT,
305,147347,30593,Hola,Hola,INTENT,
306,147348,30593,Hola,Buenos días,INTENT,
307,147349,30593,Hola,Buenas tardes,INTENT,
308,147350,30593,Hola,Buenas noches,INTENT,
309,147413,25593,Que es y como funcionan los buscadores tematicos.,Buscadores temáticos,INTENT,
310,147414,25593,Que es y como funcionan los buscadores tematicos.,Buscadores de la plataforma,INTENT,
311,147415,25593,Que es y como funcionan los buscadores tematicos.,buscadores de la pnt,INTENT,
312,147416,25588,como saber cuánto ganan los funcionarios,cuanto gana,INTENT,
313,147417,25588,como saber cuánto ganan los funcionarios,ingresos de un funcionario,INTENT,
314,147419,30092,Arbol - Ejercer Derechos ARCO,Solicitud de datos personales,INTENT,
315,147420,30091,Arbol - Realizar Solicitud - CAS,como hago una solicitud,INTENT,
316,147421,25593,Que es y como funcionan los buscadores tematicos.,Temático,INTENT,
317,147423,25676,Cómo unificar el número de seguro social,seguro duplicado,INTENT,
318,147424,25675,cómo obtener un Número de seguro social.,Numero de Seguro,INTENT,
319,147425,25506,Saber el teléfono del CAS,llamar al cas,INTENT,
320,147426,25506,Saber el teléfono del CAS,marcar al CAS,INTENT,
321,147427,25506,Saber el teléfono del CAS,marcar a telinai,INTENT,
322,147428,25506,Saber el teléfono del CAS,numero del cas,INTENT,
323,147429,25506,Saber el teléfono del CAS,marcar a telinai,INTENT,
324,147430,25506,Saber el teléfono del CAS,marcar a telinai,INTENT,
325,147431,25506,Saber el teléfono del CAS,marcar a telinai,INTENT,
326,147432,25506,Saber el teléfono del CAS,Número del CAS,INTENT,
327,147433,25506,Saber el teléfono del CAS,número del cas,INTENT,
328,147434,25506,Saber el teléfono del CAS,numero del cas,INTENT,
329,147435,25546,Material editorial del INAI,material publicado,INTENT,
330,147436,25554,¿Dónde consultar las estadísticas del INAI?,estadisticas,INTENT,
331,147437,25554,¿Dónde consultar las estadísticas del INAI?,graficas,INTENT,
332,147438,29426,qué es el MiCAS,el micas,INTENT,
333,147440,29426,qué es el MiCAS,Módulo itinerante,INTENT,
334,147441,25519,Cursos INAI,Aula virtual,INTENT,
335,147442,25519,Cursos INAI,los cursos que,INTENT,
336,147454,29801,búho legal,Buro,INTENT,
337,147457,25679,Como ejercer derechos arcos en posesion de particulares,marcan de un banco,INTENT,
338,147458,25679,Como ejercer derechos arcos en posesion de particulares,marquen de un banco,INTENT,
339,147459,25679,Como ejercer derechos arcos en posesion de particulares,marcar del banco,INTENT,
340,147460,25679,Como ejercer derechos arcos en posesion de particulares,marcar de un banco,INTENT,
341,147461,25551,¿Cómo denunciar un funcionario del INAI?,denunciar a un servidor,INTENT,
342,147462,25551,¿Cómo denunciar un funcionario del INAI?,quejarme de un servidor,INTENT,
343,147463,25551,¿Cómo denunciar un funcionario del INAI?,denunciar un empleado,INTENT,
344,147464,25551,¿Cómo denunciar un funcionario del INAI?,quejarme de un empleado,INTENT,
345,147465,25567,¿Qué son los datos personales?,qué es un dato personal,INTENT,
346,147466,25567,¿Qué son los datos personales?,define dato personal,INTENT,
347,147467,25522,Calendario de eventos del INAI,próximos eventos,INTENT,
348,147468,25595,Como corregir los datos personales de mi certificado de Vacunacion,covid,INTENT,
349,147469,25506,Saber el teléfono del CAS,telefono del cas,INTENT,
350,147470,25506,Saber el teléfono del CAS,telefono ,INTENT,
351,147471,25506,Saber el teléfono del CAS,Teléfono,INTENT,
352,147472,25446,Arbol - Semanas cotizadas del imss,Pemex,INTENT,
353,147473,25446,Arbol - Semanas cotizadas del imss,Petroleos Mexicanos,INTENT,
354,147474,25686,Como tener acceso a mi información de salud,resumen clínico,INTENT,
355,147475,25679,Como ejercer derechos arcos en posesion de particulares,llamadas de cobranza,INTENT,
356,147476,25679,Como ejercer derechos arcos en posesion de particulares,marcan para cobrar,INTENT,
357,147477,25679,Como ejercer derechos arcos en posesion de particulares,llamadas para cobrar,INTENT,
358,147489,25675,cómo obtener un Número de seguro social.,Número de seguro social,INTENT,
359,147490,25675,cómo obtener un Número de seguro social.,Numero de seguro social,INTENT,
360,147491,25675,cómo obtener un Número de seguro social.,nss,INTENT,
361,147492,25675,cómo obtener un Número de seguro social.,sacar mi numero de seguro social,INTENT,
362,147493,25501,Saber qué es y hace el INAI,Quiero saber que hace el inai,INTENT,
363,147494,25501,Saber qué es y hace el INAI,hace el inai,INTENT,
364,147496,28657,Caravana,Deseo saber sobre las caravanas,INTENT,
365,147497,25519,Cursos INAI,capacitación,INTENT,
366,147498,25508,"Saber la dirección del INAI, CAS y para postal",donde está el INAI,INTENT,
367,147499,25508,"Saber la dirección del INAI, CAS y para postal",llego al inai,INTENT,
368,147500,25517,¿Qué información guarda el INAI?,información guarda,INTENT,
369,147501,25517,¿Qué información guarda el INAI?,información resguardan,INTENT,
370,147502,25675,cómo obtener un Número de seguro social.,saco mi numero de seguro,INTENT,
371,147503,29486,Arbol Quejas,realizar una queja,INTENT,
372,154522,25502,"Sáber el horario del INAI, CAS y oficialia de partes",hora cierran,INTENT,
373,154523,25505,Saber cómo contactar al CAS,cómo contactarlos,INTENT,
374,154524,25508,"Saber la dirección del INAI, CAS y para postal",carta,INTENT,
